text,song_title,album_title,writer_name,year
-0.044897959183673466,Lightning Frightening,The Man Who Sold the World,David Bowie,1990
-0.10376492194674013,Like a Rocket Man,The Next Day Extra,David Bowie,2013
0.0051470588235294264,Little Bombardier,David Bowie,David Bowie,1967
-0.0301282051282051,Little Wonder,Earthling,David Bowie,1997
0.027132936507936512,The London Boys,"""",David Bowie,1966
0.1588496071829405,London Bye Ta-Ta,Sound + Vision,David Bowie,1968
-0.09833333333333336,The Loneliest Guy,Reality,David Bowie,2003
-0.20714285714285716,Look Back in Anger,Lodger,David Bowie,1979
0.22000000000000003,Looking for Satellites,Earthling,David Bowie,1997
-0.02536075036075037,Looking for Water,Reality,David Bowie,2003
0.20334224598930484,Love Is Lost,The Next Day,David Bowie,2013
0.30091397849462365,Love You till Tuesday,David Bowie,David Bowie,1967
0.15909090909090912,Loving the Alien,Tonight,David Bowie,1984
0.05582750582750581,Lucy Cant Dance,Black Tie White Noise,David Bowie,1993
0.41027777777777774,Magic Dance,Labyrinth,David Bowie,1986
0.09285714285714285,Maid of Bond Street,David Bowie,David Bowie,1967
0.08333333333333333,The Man Who Sold the World,The Man Who Sold the World,David Bowie,1970
0.22592592592592595,Memory of a Free Festival,David Bowie,David Bowie,1969
0.1542676767676768,Miracle Goodnight,Black Tie White Noise,David Bowie,1993
0.33965517241379295,Modern Love,Let's Dance,David Bowie,1983
0.19583333333333333,Moonage Daydream,"""",David Bowie,1971
-0.055370370370370375,The Motel,Outside,David Bowie,1995
-0.03425925925925926,Move On,Lodger,David Bowie,1979
-0.1702690972222222,Nathan Adler,Outside,David Bowie,1995
-0.05407407407407406,Neighborhood Threat,Tonight,David Bowie,1984
0.1452645502645502,Never Get Old,Reality,David Bowie,2003
-0.05240641711229946,New Angels of Promise,Hours,David Bowie,1999
0.3075384122919333,New Killer Star,Reality,David Bowie,2003
0.16867512332628615,New York's in Love,Never Let Me Down,David Bowie,1987
-0.010859749569426995,The Next Day,The Next Day,David Bowie,2013
-0.027727272727272732,No Control,Outside,David Bowie,1995
0.04444444444444445,No One Calls,"""",David Bowie,1999
0.2,No Plan,Lazarus,David Bowie,2016
0.19642857142857142,Nothing to Be Desired,Outside,David Bowie,1995
0.06602564102564103,An Occasional Dream,David Bowie,David Bowie,1969
-0.0367063492063492,Oh! You Pretty Things,Hunky Dory,David Bowie,1971
0.5,Pallas Athena,Black Tie White Noise,David Bowie,1993
0.08055555555555555,Panic in Detroit,Aladdin Sane,David Bowie,1973
-0.04821428571428573,Planet of Dreams(David Bowie &  Gail Ann Dorsey ) ,Long Live Tibet,David Bowie,1997
0.011383009994121106,Please Mr. Gravedigger,David Bowie,David Bowie,1967
-0.06363636363636366,The Prettiest Star,"""",David Bowie,1970
0.22339252085014796,Pretty Pink Rose  ,Young Lions,David Bowie,1990
0.24285714285714294,The Pretty Things Are Going to Hell,Hours,David Bowie,1999
-0.011006683375104447,Queen Bitch,Hunky Dory,David Bowie,1971
0.0,Queen of All the Tarts (Overture),Reality,David Bowie,2003
0.095,Quicksand,Hunky Dory,David Bowie,1971
0.13999999999999999,Ramona A. Stone/I Am with Name,Outside,David Bowie,1995
0.4119318181818183,Real Cool World,Songs from the Cool World,David Bowie,1992
-0.06576719576719578,Reality,Reality,David Bowie,2003
0.05202785430058156,Rebel Rebel,Diamond Dogs,David Bowie,1974
0.07363636363636364,Red Money,Lodger,David Bowie,1979
0.03384502923976609,Red Sails,Lodger,David Bowie,1979
0.1063809523809524,Repetition,Lodger,David Bowie,1979
0.13575757575757574,Ricochet,Let's Dance,David Bowie,1983
0.10173847316704457,Right,Young Americans,David Bowie,1975
0.246875,Rock n Roll Suicide,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
0.009406565656565648,Rock n Roll with Me,Diamond Dogs,David Bowie,1974
0.2692956349206349,Rubber Band,David Bowie,David Bowie,1966
-0.027350427350427357,Running Gun Blues,The Man Who Sold the World,David Bowie,1970
0.2543478260869565,Safe,Heathen,David Bowie,2002
0.011111111111111108,Saviour Machine,The Man Who Sold the World,David Bowie,1970
-0.03701923076923078,Scary Monsters (And Super Creeps),Scary Monsters (And Super Creeps),David Bowie,1980
-0.013773148148148152,Scream Like a Baby,Scary Monsters (And Super Creeps),David Bowie,1980
-0.35714285714285726,The Secret Life of Arabia,"""Heroes""",David Bowie,1977
-0.14144736842105263,Sell Me a Coat,David Bowie,David Bowie,1967
0.04834710743801652,Seven,Hours,David Bowie,1999
0.37142857142857144,Seven Years in Tibet,Earthling,David Bowie,1997
0.26904761904761904,Sex and the Church,The Buddha of Suburbia,David Bowie,1993
0.12857142857142856,Shadow Man,"""",David Bowie,2002
0.3572727272727273,Shake It,Let's Dance,David Bowie,1983
0.033053221288515414,She Shook Me Cold,The Man Who Sold the World,David Bowie,1970
-0.17068131868131872,She'll Drive the Big Car,Reality,David Bowie,2003
-0.0326851851851852,She's Got Medals,David Bowie,David Bowie,1967
-0.139367816091954,Silly Boy Blue,David Bowie,David Bowie,1967
-0.10000000000000002,Sister Midnight,A Reality Tour,David Bowie,2010
0.05444444444444443,Slip Away,Heathen,David Bowie,2002
-0.2481987361297706,Slow Burn,Heathen,David Bowie,2002
-0.16167929292929292,A Small Plot of Land,Outside,David Bowie,1995
0.06388888888888888,So She,The Next Day Extra,David Bowie,2013
-0.5,Some Are,Low,David Bowie,1991
0.08598901098901099,Somebody Up There Likes Me,Young Americans,David Bowie,1975
0.029732142857142842,Something in the Air,Hours,David Bowie,1999
0.11177777777777782,Song for Bob Dylan,Hunky Dory,David Bowie,1971
0.19300411522633745,Sons of the Silent Age,"""Heroes""",David Bowie,1977
0.19435497835497836,Soul Love,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
0.11043482443482443,Sound and Vision,Low,David Bowie,1977
0.06817307692307692,Space Oddity,David Bowie,David Bowie,1969
0.2107142857142857,Star,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
0.2174603174603175,Starman,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
-0.028193701723113508,The Stars (Are Out Tonight),The Next Day,David Bowie,2013
-0.09993366500829184,Station to Station,Station to Station,David Bowie,1976
-0.1586124401913875,Stay,Station to Station,David Bowie,1976
